datetime,North-Eastern Region Hourly Demand,temp_ne,humidity_ne,feels_like_ne,is_holiday
1/1/2019 0:00,1665.72,11.4,91,10.7,1
1/1/2019 1:00,1556.24,10.4,92,9.6,1
1/1/2019 2:00,1485.44,9.6,93,8.5,1
1/1/2019 3:00,1454.96,9.1,91,7.7,1
1/1/2019 4:00,1463.14,8.9,88,7.5,1
1/1/2019 5:00,1496.27,9.8,89,8.7,1
1/1/2019 6:00,1571.1,10.6,83,9.5,1
1/1/2019 7:00,1754.27,13.2,75,12.4,1
1/1/2019 8:00,1768.27,16,72,15.9,1
1/1/2019 9:00,1702.59,18.5,66,18.3,1
1/1/2019 10:00,1620.8,20.1,61,19.9,1
1/1/2019 11:00,1516.64,21.5,56,21.5,1
1/1/2019 12:00,1481.51,22.5,52,22.3,1
1/1/2019 13:00,1436.48,22.9,51,22.3,1
1/1/2019 14:00,1392.05,22.6,53,22,1
1/1/2019 15:00,1398.22,21.5,59,21.4,1
1/1/2019 16:00,1626.21,18.2,70,18.1,1
1/1/2019 17:00,2213.3,17,74,16.7,1
1/1/2019 18:00,2306.29,15.4,82,15.2,1
1/1/2019 19:00,2276.87,15,83,14.7,1
1/1/2019 20:00,2182.65,14.4,85,13.9,1
1/1/2019 21:00,1994.57,13.4,88,12.8,1
1/1/2019 22:00,1731.67,12.6,91,12,1
1/1/2019 23:00,1591.34,12.1,92,11.3,1
1/2/2019 0:00,1499.36,11.4,93,10.4,0
1/2/2019 1:00,1400.91,10.6,92,9.8,0
1/2/2019 2:00,1373.98,9.9,92,9,0
1/2/2019 3:00,1361.79,9.9,89,8.5,0
1/2/2019 4:00,1377.34,9.9,85,8.4,0
1/2/2019 5:00,1445.45,9.6,89,8.4,0
1/2/2019 6:00,1626.25,10.1,84,8.8,0
1/2/2019 7:00,1823.28,13.2,76,12.1,0
1/2/2019 8:00,1831.26,16.6,67,16.2,0
1/2/2019 9:00,1764.61,18.8,61,18.3,0
1/2/2019 10:00,1674.97,20.2,56,19.5,0
1/2/2019 11:00,1602.51,21.5,51,21,0
1/2/2019 12:00,1567.72,22.4,49,21.9,0
1/2/2019 13:00,1541.5,22.8,51,22.3,0
1/2/2019 14:00,1526.66,22.6,53,22.7,0
1/2/2019 15:00,1540.12,21.6,61,22.2,0
1/2/2019 16:00,1731.64,17.7,78,17.7,0
1/2/2019 17:00,2327.77,19.2,63,19.3,0
1/2/2019 18:00,2364.21,19,63,19.2,0
1/2/2019 19:00,2318.72,16.5,75,16.6,0
1/2/2019 20:00,2211.63,14.6,82,14.6,0
1/2/2019 21:00,2066.36,13.4,87,13.5,0
1/2/2019 22:00,1774.36,13.2,88,13.1,0
1/2/2019 23:00,1591.07,13.1,86,12.5,0
1/3/2019 0:00,1476.97,12.6,84,11.7,0
1/3/2019 1:00,1413.2,11.9,84,10.9,0
1/3/2019 2:00,1382.79,11.3,85,10.4,0
1/3/2019 3:00,1380.09,11.1,86,10,0
1/3/2019 4:00,1398.79,10.9,86,9.7,0
1/3/2019 5:00,1468,11.3,85,10,0
1/3/2019 6:00,1613.25,12,82,10.9,0
1/3/2019 7:00,1720.37,14.4,76,13.8,0
1/3/2019 8:00,1698.5,17.5,68,17.7,0
1/3/2019 9:00,1648.78,19,67,19.2,0
1/3/2019 10:00,1624.38,20,68,20.5,0
1/3/2019 11:00,1523.92,21,66,21.8,0
1/3/2019 12:00,1541.49,21.6,63,22.5,0
